date,open_price,close_price,high_price,low_price,volume,EMA_5,EMA_20,signal
2023-03-10,150.21,148.5,150.94,147.6096,68572400,150.23303321093417,149.44316199414266,0
2023-03-13,147.805,150.47,153.14,147.7,84457122,150.31202214062276,149.54096589640073,-1
2023-03-14,151.28,152.59,153.4,150.1,73695893,151.0713480937485,149.83137644202608,0
2023-03-15,151.19,152.99,153.245,149.92,77167866,151.71089872916568,150.13222242598573,0
2023-03-16,152.16,155.85,156.46,151.64,76254419,153.09059915277712,150.6768131128204,0
2023-03-17,156.08,155.0,156.74,154.28,98944633,153.72706610185142,151.08857286273502,0
2023-03-20,155.07,157.4,157.82,154.15,73641415,154.95137740123428,151.68969770352766,0
2023-03-21,157.32,159.28,159.4,156.54,73938285,156.39425160082286,152.41262339737594,0
2023-03-22,159.3,157.83,162.14,157.81,75701811,156.87283440054856,152.92858970162317,0
2023-03-23,158.83,158.93,161.5501,157.68,67622060,157.55855626703237,153.50017832159168,0
2023-03-24,158.86,160.25,160.34,157.85,59256343,158.4557041780216,154.14304466843234,0
2023-03-27,159.94,158.28,160.77,157.87,52390266,158.39713611868106,154.5370549356386,1
2023-03-28,157.97,157.65,158.49,155.98,45992152,158.14809074578739,154.83353578036716,-1
2023-03-29,159.37,160.77,161.05,159.35,51305691,159.02206049719157,155.3989303827561,0
2023-03-30,161.53,162.36,162.47,161.271,49501689,160.1347069981277,156.0619074906763,0
2023-03-31,162.44,164.9,165.0,161.91,68749792,161.7231379987518,156.90365137498048,0
2023-04-03,164.27,166.17,166.29,164.22,56976187,163.20542533250122,157.7861804875169,0
2023-04-04,166.595,165.63,166.84,165.11,46278295,164.01361688833416,158.53322601989197,0
2023-04-05,164.74,163.76,165.05,161.8,51511744,163.9290779255561,159.03102312324472,1
2023-04-06,162.43,164.66,164.9584,162.0,45390123,164.1727186170374,159.56712503111603,-1
2023-04-10,161.42,162.03,162.03,160.08,47716882,163.4584790780249,159.8016880640677,1
2023-04-11,162.35,160.8,162.36,160.51,47644217,162.57231938534994,159.89676667932684,-1
2023-04-12,161.22,160.1,162.06,159.78,50133062,161.74821292356663,159.91612247091646,1
2023-04-13,161.63,165.56,165.8,161.42,68445649,163.0188086157111,160.453640577336,-1
2023-04-14,164.59,165.21,166.32,163.82,49386480,163.74920574380738,160.90663173402928,0
2023-04-17,165.09,165.23,165.39,164.03,40713618,164.24280382920492,161.31838483049606,0
2023-04-18,166.1,166.47,167.41,165.65,49923008,164.98520255280326,161.8090188763281,0
2023-04-19,165.8,167.63,168.16,165.54,47720166,165.86680170186884,162.3634021505939,0
2023-04-20,166.09,166.65,167.87,165.56,52456377,166.12786780124588,162.77165230961106,0
2023-04-21,165.05,165.02,166.4521,164.49,58337341,165.75857853416392,162.98578196362416,1
2023-04-24,165.0,165.33,165.6,163.89,41949581,165.61571902277595,163.20904205297745,-1
2023-04-25,165.19,163.77,166.305,163.73,48714063,165.0004793485173,163.26246688538927,1
2023-04-26,163.055,163.76,165.28,162.8,44105745,164.58698623234486,163.30985120502126,-1
2023-04-27,165.19,168.41,168.56,165.19,64902329,165.86132415489658,163.7955816416134,0
2023-04-28,168.49,169.68,169.85,167.8801,55275851,167.13421610326438,164.3560045044772,0
2023-05-01,169.28,169.59,170.45,168.64,52472936,167.9528107355096,164.85448192924594,0
2023-05-02,170.09,168.54,170.35,167.54,48425696,168.14854049033974,165.20548470993234,0
2023-05-03,169.5,167.45,170.92,167.16,65136018,167.91569366022648,165.41924865477392,1
2023-05-04,164.89,165.79,167.04,164.31,81235427,167.20712910681766,165.45455839396118,-1
2023-05-05,170.975,173.57,174.3,170.76,113453171,169.32808607121177,166.22745932269507,0
2023-05-08,172.48,173.5,173.85,172.11,55962793,170.71872404747452,166.92008364551646,0
2023-05-09,173.05,171.77,173.54,171.6,45326874,171.06914936498302,167.38198128660474,0
2023-05-10,173.02,173.555,174.03,171.9,53724501,171.89776624332202,167.96988880431786,0
2023-05-11,173.85,173.75,174.59,172.17,49514676,172.51517749554804,168.52037640965128,0
2023-05-12,173.62,172.57,174.06,171.0,45533138,172.53345166369868,168.90605536965347,0
2023-05-15,173.16,172.07,173.21,171.47,37266659,172.3789677757991,169.20738379926416,1
2023-05-16,171.99,172.07,173.1383,171.7991,42110293,172.2759785171994,169.480014216154,-1
2023-05-17,171.71,172.69,172.925,170.4201,57951604,172.41398567813295,169.78572745488532,0
2023-05-18,173.0,175.05,175.24,172.58,65496657,173.2926571187553,170.28708720032245,0
2023-05-19,176.39,175.16,176.39,174.94,55809475,173.91510474583686,170.7511745150443,0
2023-05-22,173.98,174.2,174.71,173.45,43570932,174.0100698305579,171.0796343292816,0
2023-05-23,173.13,171.56,173.3794,171.275,50747263,173.19337988703862,171.12538347155757,1
2023-05-24,171.09,171.84,172.4183,170.52,45143488,172.74225325802573,171.19344222997967,-1
2023-05-25,172.41,172.99,173.895,171.69,56058258,172.82483550535048,171.36454306421226,0
2023-05-26,173.32,175.43,175.77,173.11,54834975,173.69322367023366,171.75172963197693,0
2023-05-30,176.96,177.3,178.99,176.57,55964401,174.89548244682246,172.28013657191286,0
2023-05-31,177.325,177.25,179.35,176.76,99313268,175.68032163121498,172.75345709146004,0
2023-06-01,177.7,180.09,180.12,176.9306,68901809,177.15021442081,173.45217572155934,0
2023-06-02,181.03,180.95,181.78,179.26,61996913,178.4168096138733,174.16625446269623,0
